speaker,ipu,stimulus,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,voice_ons,voice_off,c1_rel,c2_rel
it06,ipu_7,Ha detto 'cuco' sei volte,69.90468251858867,71.55758425010028,70.35340227701553,70.749955,70.509955,70.58584719692134,70.68893146574912,70.5006937566419,70.60229272123277,70.44467580661167,70.65068552920637
it06,ipu_8,Scrivete 'poto' sul foglio,73.10875540050472,74.86886852667276,73.65247438706699,74.039955,73.759955,73.89300434766517,73.979955,73.75219363788146,73.90871423919815,73.72486273885795,73.9584849107899
it06,ipu_9,Ripete 'puto' da sempre,76.23778783956857,77.87451948969536,76.699955,77.099955,76.839955,76.939955,77.04629190880614,--undefined--,--undefined--,76.79404399940667,77.02093812960372
it06,ipu_10,Ripete 'papo' da sempre,79.19105524905582,80.81691914897422,79.644943,80.044943,79.754943,79.86615614686919,79.984943,79.75012828633855,79.88328031025759,--undefined--,--undefined--
it06,ipu_11,Ha detto 'capo' sei volte,82.339932,83.86459354821903,82.73023429229266,83.089932,82.83533982129356,82.92629652908278,83.029932,82.82414888299422,82.94893014181783,82.796375769139,82.99791162187977
it06,ipu_12,Ha detto 'puco' sei volte,85.20740568982968,86.84110081399272,85.62580654566013,86.034921,85.774921,85.85016642487355,85.96942077508609,85.7636096585539,85.87263500278718,85.72446186754817,85.9300103468004
it06,ipu_13,Sentivo 'puco' di nuovo,88.36313753855637,89.88625559157707,88.924943,89.304943,89.04632347706212,89.13525892467825,89.244943,89.03979252133165,89.15846987298758,89.02404730839002,89.2110411180292
it06,ipu_14,Ripete 'toco' da sempre,91.294943,92.86123995866505,91.74102952395032,92.134943,91.86634765468214,91.96538940316374,92.0759757457141,91.85787420504231,91.98200185187619,91.84184378739972,92.04182920371822
it06,ipu_15,Scrivete 'poco' sul foglio,94.33678769924755,96.07567295789407,94.90071928754077,95.259955,95.009955,95.09678152433088,95.19986579315866,95.00629821980586,95.12151385201818,--undefined--,95.17097155324797
it06,ipu_16,Ripete 'checo' da sempre,97.614943,99.22980657386043,98.10193412586608,98.504943,98.24746485832885,98.32831526525261,98.444943,98.2373038438876,98.34357159756745,98.18507160007131,98.39108132266603
it06,ipu_17,Ripete 'cato' da sempre,100.7435044412841,102.3413998493014,101.19828798023023,101.580306152945,101.334943,101.434943,101.534943,101.31553350775457,101.4480578676919,101.28049113444196,101.50263468766735
it06,ipu_18,Scrivete 'teco' sul foglio,103.73087945726627,105.684989,104.32512994815588,104.774943,104.46257563992627,104.55959612823477,104.68087173862041,104.44972324303987,104.57590340786763,104.43009949459574,104.6410478446551
it06,ipu_19,Ha detto 'tipo' sei volte,106.98463778868404,108.56864746334534,107.419955,107.769955,107.53644181593869,107.599955,107.6981426297862,107.52606472357981,107.62097294287604,107.49823296353112,107.67581349998288
it06,ipu_20,Scrivete 'tepo' sul foglio,109.90724787364465,111.61834312276318,110.394943,110.774943,110.514943,110.604943,110.70447043666911,110.50268609308878,110.62989115863616,110.48091138776765,110.67303314952392
it06,ipu_21,Ha detto 'checo' sei volte,112.979932,114.59636401581471,113.40019174934791,113.79231622292814,113.539932,113.62050910821515,113.739932,113.53630532496413,113.63970301579617,113.4886008400679,113.71429505722965
it06,ipu_22,Ha detto 'cuto' sei volte,116.074943,117.65002686150429,116.46209957528687,116.85624530904019,116.63188542982677,116.714943,116.80571380471285,116.6191849331378,116.73712044362838,116.55659410616056,116.78303955028923
it06,ipu_23,Ha detto 'chito' sei volte,119.03671448854521,120.60084998340561,119.414921,119.78458075258996,119.58447599545366,119.6410712803003,119.734921,119.57399975028166,119.668708589579,119.4898187712961,119.706849788728
it06,ipu_24,Sentivo 'tipo' di nuovo,122.04707554436624,123.57954772031756,122.594943,122.95960381414757,122.72513763406867,122.7837541790884,122.89492348860857,122.70924821446971,122.82074815422675,122.68720584349714,122.86850022617715
it06,ipu_25,Ha detto 'topo' sei volte,125.12827458313622,126.68541563716936,125.514943,125.864943,125.624943,125.724943,125.814943,125.62530722996206,125.75490603975967,125.61499153990168,--undefined--
it06,ipu_26,Scrivete 'pico' sul foglio,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
it06,ipu_27,Ripete 'pipo' da sempre,131.36065531739135,133.02694442077157,131.874943,132.26213735459123,131.994943,132.07618141866658,132.19139324853293,131.98834642589117,132.10058147300347,131.98101139221615,132.1530485239617
it06,ipu_28,Scrivete 'teto' sul foglio,134.19718799832629,135.91991244699605,134.7227156433307,135.0878961622083,134.84601251388943,134.93292670133246,135.029955,134.83547644068943,134.95908653982383,134.81455129866487,135.0005389385157
it06,ipu_29,Scrivete 'chepo' sul foglio,137.0225237785307,138.7374923370301,137.4954986590347,137.884921,137.634921,137.71379475772883,137.824921,137.6292177476785,137.7471964612056,137.5784013605442,137.79115303437283
